sentence	entity_0	entity_1	label
오스카는 등 다시 맥과이어의 추천을 받아 1906년에 밋처를 아나폴리에 재입학 시켰는데, 재입학한 밋처는 연하의 상급생으로부터 왕따를 당하는 등 괴로운 나날을 보내며 등 ‘내성적, 반항적, 비사교적’이라는 딱지가 붙는다.	밋처	아나폴리스	39
맥과이어의 추천을 받아 1906년에 아나폴리에 시켰는데, 재입학한 밋처는 상급생으로부터 왕따를 당하는 등 괴로운 나날을 보내며 ‘내성적, 반항적, 비사교적’이라는 딱지가 붙는다.	밋처	아나폴리스	39
오스카는 다시 맥과이어의 추천을 받아 1906년에 밋처를 아나폴리에 재입학 시켰는데, 재입학한 밋처는 연하의 붙는다. 왕따를 당하는 비사교적’이라는 괴로운 나날을 상급생으로부터 반항적, 보내며 등 딱지가 ‘내성적,	밋처	아나폴리스	39
오스카는 다시 맥과이어의 추천을 받아 1906년에 밋처를 아나폴리에 시켰는데, 재입학한 밋처는 연하의 상급생으로부터 당하는 등 괴로운 나날을 보내며 ‘내성적, 반항적, 비사교적’이라는 딱지가 붙는다.	밋처	아나폴리스	39
받아 다시 재입학 추천을 ‘내성적, 1906년에 밋처를 아나폴리에 맥과이어의 시켰는데, 재입학한 나날을 연하의 상급생으로부터 왕따를 당하는 등 괴로운 밋처는 보내며 딱지가 반항적, 비사교적’이라는 오스카는 붙는다.	밋처	아나폴리스	39
오스카는 다시 맥과이어의 추천을 받아 1906년에 밋처를 등 아나폴리에 재입학 시켰는데, 재입학한 밋처는 연하의 상급생으로부터 왕따를 당하는 등 괴로운 나날을 보내며 ‘내성적, 반항적, 등 비사교적’이라는 딱지가 붙는다.	밋처	아나폴리스	39
오스카는 다시 맥과이어의 1906년에 밋처를 아나폴리에 재입학 시켰는데, 재입학한 밋처는 연하의 왕따를 괴로운 보내며 반항적, 비사교적’이라는 딱지가 붙는다.	밋처	아나폴리스	39
오스카는 다시 맥과이어의 추천을 밋처는 1906년에 등 아나폴리에 재입학 시켰는데, 재입학한 받아 상급생으로부터 딱지가 왕따를 당하는 밋처를 붙는다. 나날을 보내며 ‘내성적, 반항적, 비사교적’이라는 연하의 괴로운	밋처	아나폴리스	39
오스카는 다시 추천을 받아 1906년에 밋처를 아나폴리에 재입학 시켰는데, 재입학한 밋처는 연하의 상급생으로부터 왕따를 당하는 등 괴로운 나날을 보내며 ‘내성적, 반항적, 비사교적’이라는 딱지가 붙는다.	밋처	아나폴리스	39
시켰는데, 다시 맥과이어의 연하의 받아 1906년에 밋처를 아나폴리에 재입학 왕따를 나날을 밋처는 추천을 상급생으로부터 오스카는 당하는 등 괴로운 비사교적’이라는 보내며 ‘내성적, 반항적, 재입학한 딱지가 붙는다.	밋처	아나폴리스	39
오스카는 다시 맥과이어의 추천을 받아 1906년에 밋처를 아나폴리에 재입학 시켰는데, 재입학한 밋처는 연하의 상급생으로부터 왕따를 당하는 등 등 괴로운 나날을 보내며 ‘내성적, 반항적, 비사교적’이라는 딱지가 붙는다.	밋처	아나폴리스	39
함경남도원부의 푸른 바닷가가 있는 명사십리 출신으로, 작곡가 겸 가수인 김용환과 성악가인 누나 모두 음악인으로 활동한 기독교 가정에서 태어나 자연스럽게 음악을 접했다.	김용환	함경남도 원산	19
함경남도원부의 푸른 있는 명사십리 출신으로, 작곡가 겸 가수인 맏형 김용환과 누나 음악인으로 활동한 기독교 가정에서 태어나 음악을 접했다.	김용환	함경남도 원산	19
함경남도원부의 푸른 바닷가가 있는 명사십리 출신으로, 작곡가 겸 가수인 맏형 김용환과 성악가인 누나 김안라가 모두 음악인으로 작 활동한 기독교 가정에서 태어나 자연스럽게 음악을 작 접했다.	김용환	함경남도 원산	19
함경남도원부의 푸른 성악가인 있는 명사십리 출신으로, 작곡가 겸 맏형 가수인 자연스럽게 음악인으로 누나 김안라가 모두 바닷가가 활동한 기독교 가정에서 태어나 김용환과 음악을 접했다.	김용환	함경남도 원산	19
함경남도원부의 푸른 바닷가가 있는 명사십리 출신으로, 작곡가 겸 가수인 맏형 김용환과 성악가인 누나 작 김안라가 모두 음악인으로 활동한 기독교 가정에서 태어나 자연스럽게 음악을 접했다.	김용환	함경남도 원산	19
함경남도원부의 바닷가가 있는 출신으로, 작곡가 맏형 성악가인 누나 김안라가 모두 음악인으로 활동한 가정에서 태어나 자연스럽게 음악을 접했다.	김용환	함경남도 원산	19
맏형 푸른 바닷가가 함경남도원부의 명사십리 출신으로, 작곡가 겸 가수인 있는 김용환과 접했다. 누나 김안라가 모두 음악인으로 활동한 기독교 태어나 가정에서 자연스럽게 음악을 성악가인	김용환	함경남도 원산	19
함경남도원부의 푸른 바닷가가 있는 명사십리 출신으로, 곡 겸 가수인 맏형 김용환과 성악가인 누나 김안라가 모두 음악인으로 활동한 기독교 가정에서 태어나 자연스럽게 음악을 접했다.	김용환	함경남도 원산	19
함경남도원부의 푸른 바닷가가 있는 작 명사십리 출신으로, 작곡가 겸 가수인 맏형 김용환과 성악가인 누나 김안라가 모두 음악인으로 활동한 기독교 가정에서 태어나 자연스럽게 음악을 접했다.	김용환	함경남도 원산	19
함경남도원부의 출신으로, 바닷가가 있는 명사십리 작곡가 푸른 활동한 가수인 맏형 김용환과 성악가인 겸 김안라가 모두 음악인으로 누나 기독교 가정에서 태어나 자연스럽게 음악을 접했다.	김용환	함경남도 원산	19
함경남도원부의 바닷가가 있는 명사십리 출신으로, 작곡가 겸 가수인 김용환과 성악가인 누나 김안라가 모두 음악인으로 활동한 기독교 가정에서 태어나 자연스럽게 음악을 접했다.	김용환	함경남도 원산	19
함경남도원부의 푸른 바닷가가 있는 명사십리 출신으로, 자 겸 가수인 맏형 김용환과 성악가인 누나 김안라가 모두 음악인으로 활동한 기독교 가정에서 태어나 자연스럽게 음악을 접했다.	김용환	함경남도 원산	19
가정에서 푸른 바닷가가 있는 명사십리 출신으로, 모두 겸 가수인 맏형 김용환과 태어나 누나 김안라가 기독교 음악인으로 활동한 작곡가 함경남도원부의 성악가인 자연스럽게 음악을 접했다.	김용환	함경남도 원산	19
작 함경남도원부의 푸른 바닷가가 있는 명사십리 작 출신으로, 작곡가 겸 가수인 맏형 김용환과 성악가인 누나 김안라가 모두 음악인으로 활동한 기독교 가정에서 태어나 자연스럽게 음악을 접했다.	김용환	함경남도 원산	19
그 와중에 4월 11일 마산상업고등학 학생 김주열이 최루탄이 박힌 마산 중앙부두 앞바다에서 발견되었고 계기로 4·19 혁명이 발생하였다.	김주열	마산상업고등학교	39
그 와중에 4월 김주열이 마산상업고등학 학생 눈에 11일 마산 박힌 모습으로 최루탄이 이를 앞바다에서 발견되었고 중앙부두 계기로 4·19 혁명이 발생하였다.	김주열	마산상업고등학교	39
그 와중에 4월 11일 마산상업고등학 학 김주열이 눈에 최루탄이 박힌 모습으로 마산 중앙부두 앞바다에서 발견되었고 이를 계기로 4·19 혁명이 발생하였다.	김주열	마산상업고등학교	39
